topic,theme,area,learning_objective 
Coordinate transformations,Data Manipulation,analytics and modeling,"Cite appropriate applications of several coordinate transformation techniques (e.g., affine, similarity, Molodenski, Helmert)"
Coordinate transformations,Data Manipulation,analytics and modeling,Describe the impact of map projection transformation on raster and vector data
Coordinate transformations,Data Manipulation,analytics and modeling,Differentiate between polynomial coordinate transformations (including linear) and rubbersheeting
Data conversion,Data Manipulation,analytics and modeling,Identify the conceptual and practical difficulties associated with data model and format conversion
Data conversion,Data Manipulation,analytics and modeling,Convert a data set from the native format of one GIS product to another
Data conversion,Data Manipulation,analytics and modeling,Discuss the role of metadata in facilitating conversation of data models and data structures between systems
Data conversion,Data Manipulation,analytics and modeling,Describe a workflow for converting and implementing a data model in a GIS involving an Entity-Relationship (E-R) diagram and the Universal Modeling Language (UML)
Impacts of transformations,Data Manipulation,analytics and modeling,"Compare and contrast the impacts of different conversion approaches, including the effect on spatial components"
Impacts of transformations,Data Manipulation,analytics and modeling,"Create a flowchart showing the sequence of transformations on a data set (e.g., geometric and radiometric correction and mosaicking of remotely sensed data)"
Impacts of transformations,Data Manipulation,analytics and modeling,"Prioritize a set of algorithms designed to perform transformations based on the need to maintain data integrity (e.g., converting a digital elevation model into a TIN)"
Raster resampling,Data Manipulation,analytics and modeling,Evaluate methods used by contemporary GIS software to resample raster data on-the-fly during display
Raster resampling,Data Manipulation,analytics and modeling,"Select appropriate interpolation techniques to resample particular types of values in raster data (e.g., nominal using nearest neighbor)"
Raster resampling,Data Manipulation,analytics and modeling,Resample multiple raster data sets to a single resolution to enable overlay
Raster resampling,Data Manipulation,analytics and modeling,"Resample raster data sets (e.g., terrain, satellite imagery) to a resolution appropriate for a map of a particular scale"
Raster resampling,Data Manipulation,analytics and modeling,Discuss the consequences of increasing and decreasing resolution
Vector-to-raster and raster-to-vector conversions,Data Manipulation,analytics and modeling,Explain how the vector/raster/vector conversion process of graphic images and algorithms takes place and how the results are achieved
Vector-to-raster and raster-to-vector conversions,Data Manipulation,analytics and modeling,Create estimated tessellated data sets from point samples or isolines using interpolation operations that are appropriate to the specific situation
Vector-to-raster and raster-to-vector conversions,Data Manipulation,analytics and modeling,Illustrate the impact of vector/raster/vector conversions on the quality of a dataset
Vector-to-raster and raster-to-vector conversions,Data Manipulation,analytics and modeling,Convert vector data to raster format and back using GIS software
Distance Operations,Building Blocks,analytics and modeling,"Differentiate types of distance (Euclidean, Manhattan, Network, Great Circle Distance) and describe which should be used for point-to-point measurement in different case studies involving travel, animal movement, urban applications and areal diffusion)."
Distance Operations,Building Blocks,analytics and modeling,"Describe how a distance operation can produce a binary variable, an ordinal variable or a continuous variable."
Distance Operations,Building Blocks,analytics and modeling,"Describe scenarios when distance operations are required for geographical analysis (creating policy, measuring distance decay, delineating service areas, and defining likelihoods of interaction)."
Distance Operations,Building Blocks,analytics and modeling,"Describe cases where the output of a distance operation would be a polygon, line, raster surface, or numeric matrix."
